participant,rater_1,rater_2,rater_3,rater_4,rater_5,performance_1,performance_2,performance_3,performance_4,performance_5,hire_1,hire_2,hire_3,hire_4,hire_5,expansiveness_1,expansiveness_2,expansiveness_3,expansiveness_4,expansiveness_5,gender_1,gender_2,gender_3,gender_4,gender_5,race_1,race_2,race_3,race_4,race_5,Order,Room,qualtrics,cond,Date,Time,RA,Video,Pose,Gamble,Length,Comments,Exclude.Video,Exc.Reason,StartDate,EndDate,powerful,in_charge,dominant,in_control,leader,accomplished,successful,achieving,fullfilled,self.worth,confident,productive,aware_pp,ted_pp,heard_pp,gender,race,exclude_video1,comments_video1,exclude_video2,comments_video2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1319,1328,1231,1093,NA,6,7,5,6,NA,1,1,1,1,NA,4,7,5,6,NA,2,2,1,2,NA,1,2,3,1,NA,13,1,y,UC,3/25/16,8:00,HM,Y,NA,Y,24,"Victor was here. Wrote gamble answer while I was explaining it (I did not see answer); had to say ""please continue"" once during speech",N,,3/25/16,8:22,3/25/16,8:23,3,3,3,3,3,4,5,3,4,5,4,5,N,N,Y,1,1,N,NA,N,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1069,1225,1343,NA,NA,6,5,5,NA,NA,1,2,2,NA,NA,6,3,5,NA,NA,2,2,2,NA,NA,1,1,1,NA,NA,151,1,y,UC,4/13/16,4:15,SS,Y,NA,Y,23,NA,N,,4/13/16,16:34,4/13/16,16:35,3,3,3,4,4,4,3,3,3,3,4,4,N,N,Y,2,1,N,NA,N,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1322,1306,1031,1083,NA,4,4,1,2,NA,2,1,3,3,NA,4,2,2,5,NA,1,2,1,2,NA,1,5,1,2,NA,170,1,y,UE,4/16/16,1:00,HM,Y,NA,Y,21,Prompted,2,times,N,,4/16/16,13:18,4/16/16,13:19,2,1,1,2,2,4,4,3,1,4,1,1,Y,Y,Y,1,1,N,NA,N,"left expansice pose C several times but never more than 30 seconds, hands as fists on hips",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1114,1178,1060,1290,NA,6,4,4,5,NA,1,2,2,2,NA,3,4,3,2,NA,2,2,2,1,NA,1,1,2,1,NA,173,1,y,UE,4/16/16,3:15,HM,Y,NA,Y,20,Asked,clarifying,questions,about,the,impression,task,,N,,4/16/16,15:19,4/16/16,15:34,3,3,4,2,4,2,2,3,3,3,4,1,N,N,N,1,1,N,NA,N,scratched,nose,at,several,points,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1372,1178,1082,1341,NA,3,2,5,3,NA,2,3,2,2,NA,2,5,4,4,NA,2,2,1,1,NA,2,1,1,1,NA,7,1,y,AC,3/23/16,10:30,YS,Y,N,N,30,Participant,asked,if,she,had,to,hold,any,position,when,she,was,watching,the,video,,N,,3/23/16,10:58,3/23/16,10:59,3,2,2,2,3,4,3,3,4,3,2,4,N,N,Y,2,1,N,NA,N,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1381,1041,1087,1273,NA,5,4,4,4,NA,2,2,2,2,NA,2,1,4,3,NA,2,2,2,1,NA,1,3,1,1,NA,174,1,y,UC,4/17/16,12:00,RM,Y,NA,N,20,NA,N,,4/17/16,12:18,4/17/16,12:19,4,2,1,1,4,4,3,4,4,4,4,5,N,N,N,2,1,N,NA,N,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1258,1036,1074,1153,NA,2,2,2,2,NA,2,2,2,3,NA,4,7,3,3,NA,2,2,2,1,NA,1,2,1,1,NA,78,1,y,UE,4/5/16,12:30,IF,Y,NA,N,25,Participant,apologized,about,speech.,,N,,4/5/16,12:54,4/5/16,12:55,1,2,2,1,1,1,1,1,1,2,1,1,N,N,N,2,1,N,hands,were,close,to,each,other,on,the,table,(expansive,B),N,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1139,1390,1304,1273,NA,2,4,3,4,NA,3,1,2,2,NA,1,5,5,3,NA,2,2,2,1,NA,2,1,4,1,NA,198,1,y,AE,4/19/16,5:00,YS,Y,N,N,27,"asked what kind of job she should talk about, I responed: your dream job, what you want to do in the future",N,,4/19/16,16:45,4/19/16,17:25,3,3,3,4,4,4,4,4,4,4,4,4,N,N,N,2,1,N,NA,N,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1350,1165,1330,1370,NA,3,3,3,5,NA,2,2,2,2,NA,3,2,5,1,NA,,2,2,1,NA,,2,1,5,NA,175,1,y,UC,4/17/16,12:45,RM,Y,NA,N,20,Asked,if,they,had,to,go,full,5,minutes,,N,,4/17/16,12:56,4/17/16,12:57,2,2,2,2,2,3,2,2,2,3,2,1,N,N,N,1,1,N,right,arm,low,in,constrictive,pose,B,N,arms,low,in,constrictive,pose,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1109,1159,1181,NA,NA,1,4,3,NA,NA,3,2,2,NA,NA,4,2,6,NA,NA,2,2,2,NA,NA,1,2,1,NA,NA,16,1,y,UC,3/25/16,2:00,RM,Y,NA,Y,31,Victor,was,here.,N,,3/25/16,14:27,3/25/16,14:28,2,2,1,2,1,3,4,4,2,3,3,3,N,N,N,2,1,N,NA,N,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1241,1221,1282,NA,NA,5,6,6,NA,NA,2,1,1,NA,NA,5,5,5,NA,NA,2,1,1,NA,NA,1,1,1,NA,NA,121,1,y,AE,4/10/16,6:45,JD,Y,N,Y,29,Phone,alarm,went,off,during,practice,speech,trial,time,-,also,said,the,speech,was,hard,because,you,are,put,on,the,spot,N,,4/10/16,19:10,4/10/16,19:11,4,3,3,4,4,4,4,4,3,4,4,3,Y,N,Y,2,3,N,expansive,B--standing,back,from,table,N,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1340,1028,1343,1032,NA,2,2,3,2,NA,3,3,3,3,NA,1,3,3,2,NA,2,2,2,1,NA,1,2,1,1,NA,2,1,y,AC,3/22/16,4:15,AF,Y,N,N,33,David,was,here.,Participant,was,apprehensive,about,video,but,signed,after,given,more,info,N,,3/22/16,16:13,3/22/16,16:46,2,1,2,2,1,1,2,2,2,3,1,2,N,N,N,2,1,N,NA,N,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1109,1165,1256,NA,NA,4,5,6,NA,NA,1,2,1,NA,NA,4,4,6,NA,NA,2,2,2,NA,NA,1,2,1,NA,NA,125,1,y,AC,4/11/16,1:15,MP,Y,N,Y,29,Participant,asked,if,she,still,had,a,lot,of,time,left,during,the,speech,N,,4/11/16,13:42,4/11/16,13:43,2,2,2,3,3,2,2,2,3,3,2,2,N,N,N,2,1,N,NA,N,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1131,1011,1176,NA,NA,1,1,3,NA,NA,3,3,3,NA,NA,1,7,4,NA,NA,1,1,2,NA,NA,2,1,1,NA,NA,100,1,y,UC,4/7/16,3:00,IF,Y,NA,Y,23,Participant,was,very,reluctant,to,continue,speech,even,after,asked,the,promting,questions.,,Asked,participant,to,give,more,detail,about,a,previously,mentioned,internship.,N,,4/7/16,15:19,4/7/16,15:20,2,2,2,2,2,3,3,1,2,3,3,3,N,N,N,2,1,N,arms,crossed,(constrictive,B),N,one,arm,holding,elbow,(constrictive,C),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,1,n,AC,4/3/16,5:15,JD,N,N,Y,30,Particiapnt,did,not,consent,to,be,filmed,but,we,did,go,through,the,study,without,filming,,she,was,very,uncomfortable,and,unconfident,speaking,,had,to,continually,ask,new,questions,because,she,would,stop,speaking,and,it,would,be,silent,N,,4/3/16,17:42,4/3/16,17:43,2,2,2,2,2,2,3,2,2,3,3,3,N,N,Y,2,1,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147,1,n,AC,4/13/16,12:45,SS,N,N,Y,25,"(did not get filmed) struggled to get to 5 minute mark for speech, went through all prompts",N,,4/13/16,13:08,4/13/16,13:09,2,2,2,2,2,2,2,2,2,3,3,4,Y,N,Y,2,3,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1007,1086,1347,1374,NA,7,4,6,3,NA,1,1,1,2,NA,5,4,5,6,NA,1,2,2,2,NA,1,3,1,3,NA,14,1,y,AC,3/25/16,8:45,HM,Y,N,Y,29,Has,watched,TedTalk,prior,to,session,,prompted,to,continue,speech,2,times,N,,3/25/16,9:11,3/25/16,9:12,4,4,4,3,4,4,4,4,3,4,4,4,Y,Y,N,1,1,N,held,his,shoulder,with,one,hand,and,his,arm,with,the,other,(constrictive,B),N,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1384,1092,1326,1132,NA,7,6,5,4,NA,2,1,1,2,NA,5,6,5,5,NA,2,1,2,2,NA,1,1,2,1,NA,136,1,y,UE,4/12/16,2:45,IF,Y,NA,Y,23,Participant,asked,clarifying,questions,about,speech,and,speech,preparation.,,Participant,asked,if,the,study,was,about,power,poses,at,the,end.,N,,4/12/16,15:04,4/12/16,15:05,5,5,5,5,5,4,5,5,4,5,5,5,N,N,N,1,5,N,NA,N,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1375,1225,1261,1093,NA,3,5,1,1,NA,2,2,3,3,NA,3,4,1,2,NA,2,2,2,2,NA,1,1,5,1,NA,176,1,y,AE,4/17/16,1:30,RM,Y,N,Y,30,"stated he did not think he could go the full 5 minutes, asked if he wanted to continue and he did. Explained he should speak as though he was doing a real interview. He also asked if I would ask questions, I said I would prompt him. Felt as though he relied to heavily on waiting for me to ask him questions. ",N,,4/17/16,13:56,4/17/16,13:56,3,2,4,3,3,3,4,2,2,4,4,2,Y,Y,Y,1,1,N,NA,N,hands,slightly,behind,back,at,times,while,holding,expansive,pose,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,185,1,n,AC,4/18/16,1:15,MP,N,N,N,27,"Participant was 3 minutes late and did not want to be filmed. Particpant got out of position when I came back in the room after 1 minute (step 19), struggled with speech, went through all 4 questions.",N,,4/18/16,13:43,4/18/16,13:43,2,1,2,1,1,1,1,1,1,3,3,1,Y,Y,Y,1,1,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
